Time,LevelStarted,IKTargetX,IKTargetZ,Valence,LevelNumber,Memory,Category,LevelFailures,LevelTime,PicTime,SelectedTexture,FullScore,HalfScore,Wrong,TargetsToFind,PictureVisible,HintsActive,Score,Columns,Rows
58914.551,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58914.580,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58914.608,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58914.640,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58914.670,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58914.696,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58914.729,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58914.764,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58914.797,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58914.828,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58914.854,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58914.888,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58914.919,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58914.950,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58914.968,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58915.015,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58915.041,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58915.074,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58915.105,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58915.128,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58915.175,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58915.197,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58915.228,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58915.259,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58915.288,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58915.319,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58915.351,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58915.385,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58915.415,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58915.446,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58915.476,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58915.507,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58915.528,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
58915.578,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58915.599,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58915.632,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58915.659,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58915.687,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58915.735,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58915.755,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58915.791,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58915.819,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58915.847,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58915.880,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58915.910,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58915.928,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58915.977,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58916.005,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58916.032,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58916.065,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58916.089,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58916.135,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58916.158,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58916.190,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58916.219,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58916.246,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58916.281,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58916.314,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58916.344,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58916.378,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58916.407,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58916.438,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58916.468,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
58916.487,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (3).jpg,0,0,0,4,0,0,0,5,1
