Time,LevelStarted,IKTargetX,IKTargetZ,Valence,LevelNumber,Memory,Category,LevelFailures,LevelTime,PicTime,SelectedTexture,FullScore,HalfScore,Wrong,TargetsToFind,PictureVisible,HintsActive,Score,Columns,Rows
56200.734,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56200.734,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56200.800,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56200.847,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56200.847,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56200.896,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56200.896,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56200.937,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56200.977,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.024,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.064,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.085,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.123,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.136,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.179,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.191,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.229,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.289,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.289,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.289,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.361,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.401,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.401,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.442,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.487,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.487,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.539,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.554,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.594,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.643,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.682,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.682,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.741,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.741,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.782,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.836,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.836,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
56201.918,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56201.918,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56201.961,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56201.961,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.034,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.034,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.072,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.072,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.072,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.072,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.072,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.232,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.232,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.318,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.318,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.318,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.382,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.382,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.451,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.451,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.523,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.523,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.523,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.614,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.614,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.614,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.685,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.685,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.756,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.756,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.823,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.823,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.891,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.891,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.891,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.963,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56202.963,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56203.027,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56203.027,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56203.094,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56203.094,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56203.164,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56203.164,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56203.229,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56203.229,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56203.229,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56203.325,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56203.325,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56203.393,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56203.393,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56203.393,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56203.464,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56203.464,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56203.527,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56203.527,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56203.595,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56203.595,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56203.663,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56203.663,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56203.727,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
56203.727,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,S (19).jpg,0,0,0,4,0,0,0,5,1
