Time,LevelStarted,IKTargetX,IKTargetZ,Valence,LevelNumber,Memory,Category,LevelFailures,LevelTime,PicTime,SelectedTexture,FullScore,HalfScore,Wrong,TargetsToFind,PictureVisible,HintsActive,Score,Columns,Rows
55416.396,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55416.434,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55416.458,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55416.488,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55416.519,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55416.550,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55416.571,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55416.618,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55416.644,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55416.674,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55416.706,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55416.732,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55416.764,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55416.798,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55416.830,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55416.860,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55416.892,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55416.920,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55416.953,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55416.988,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55417.018,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55417.047,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55417.078,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55417.108,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55417.131,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55417.177,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55417.202,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55417.232,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55417.272,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55417.292,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55417.337,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55417.355,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55417.388,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55417.420,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
55417.450,1,1.5,-1.59652,0,1,0,Cat_Symbols,0,44,0,NaN,0,0,0,4,0,0,0,5,1
